importance,stddev,p_value,n,p99_high,p99_low
0.19924000000000003,0.009390846607202172,5.904848843148548e-07,5,0.21857588295952288,0.17990411704047718
0.15268,0.003330465432938727,2.7151691041622423e-08,5,0.15953747435834498,0.14582252564165504
0.12756000000000003,0.0030179463215902597,3.7570345492732974e-08,5,0.13377399318860536,0.12134600681139471
0.1142,0.006700746227100385,1.4158542298611707e-06,5,0.12799692909575475,0.10040307090424526
0.11232,0.005534618324690489,7.051782100325505e-07,5,0.12371585562709232,0.10092414437290768
0.091,0.0037496666518505154,3.4514675478258244e-07,5,0.09872061546206091,0.08327938453793908
0.08652000000000001,0.004867442860476103,1.1969835146845988e-06,5,0.09654213212493004,0.07649786787506999
0.07880000000000001,0.005520869496736896,2.8725608264664443e-06,5,0.09016754660030689,0.06743245339969313
0.07328000000000001,0.004991192242340502,2.5666994710151956e-06,5,0.08355693381258705,0.06300306618741297
0.07052,0.005041031640448195,3.112121599095847e-06,5,0.08089955382214448,0.06014044617785553
0.06856000000000002,0.005058458263146989,3.5304090248951108e-06,5,0.07897543547914283,0.058144564520857214
0.02871999999999999,0.0033573799308389374,2.2007634703001448e-05,5,0.03563289168151939,0.021807108318480588
0.02751999999999999,0.0021004761364985555,4.0410357574827655e-06,5,0.03184490939671594,0.023195090603284035
0.024480000000000012,0.003077661449867414,2.9357659243822875e-05,5,0.030816947463078784,0.01814305253692124
0.013680000000000025,0.0009230384607371852,2.4722043287359067e-06,5,0.015580548948405194,0.011779451051594857
0.01152000000000002,0.0027040710049848877,0.0003389955974383406,5,0.017087719573496984,0.005952280426503055
0.010199999999999987,0.0015297058540778483,5.892497835623414e-05,5,0.013349685496328041,0.0070503145036719325
0.009520000000000039,0.0005585696017507418,1.415636734972866e-06,5,0.01067010253025715,0.008369897469742928
0.0046800000000000175,0.0005403702434442375,2.0954763901240156e-05,5,0.005792629799962173,0.0035673702000378615
0.003960000000000008,0.0011171392035015215,0.0006856396839097398,5,0.006260205060514308,0.0016597949394857067
0.002760000000000007,0.0009838699100998883,0.0016484464316377783,5,0.004785801743422961,0.0007341982565770518
0.0025600000000000067,0.0006228964600958877,0.00038936499475262013,5,0.0038425524206814406,0.0012774475793185728
0.0023199999999999887,0.0005215361924162439,0.0002868511698911176,5,0.0033938502285812567,0.0012461497714187208
0.0021600000000000287,0.0009316651759081644,0.0032937062727447924,5,0.004078311474176118,0.0002416885258239394
0.002000000000000024,0.000894427190999929,0.003745216940637298,5,0.0038416379485664096,0.00015836205143363816
0.0018399999999999972,0.0012116104984688817,0.013691783966729229,5,0.00433472276258415,-0.0006547227625841561
0.001760000000000006,0.001512613632095117,0.02996805517654493,5,0.004874492375026004,-0.0013544923750259921
0.0016800000000000148,0.0001788854382000069,1.519522528470314e-05,5,0.0020483275897133354,0.0013116724102866942
0.0015200000000000103,0.0005761944116354943,0.0020660422284502974,5,0.0027063922574105874,0.0003336077425894332
0.0013600000000000057,0.0009208691546577286,0.01493348418617862,5,0.0032560823172045773,-0.0005360823172045658
0.00132000000000001,0.0010256705123966301,0.022557866508564717,5,0.0034318697612976774,-0.0007918697612976575
0.001200000000000001,0.0011401754250991536,0.0391124423380196,5,0.0035476369591782454,-0.0011476369591782434
0.0011200000000000099,0.0008438009243892073,0.02061309243812693,5,0.002857397765885554,-0.0006173977658855345
0.0010399999999999964,0.0009528903399657335,0.035585752502509796,5,0.003002014380333564,-0.0009220143803335709
0.001000000000000023,0.000663324958071032,0.014008894284861744,5,0.002365795256793503,-0.0003657952567934571
0.0008399999999999963,0.0010990905331226927,0.08131976513262133,5,0.0031030425987451545,-0.0014230425987451615
0.0007200000000000095,0.0009444575162494247,0.08173100757869112,5,0.0026646510797476873,-0.0012246510797476685
0.0006399999999999961,0.00043358966777358454,0.014959026106366983,5,0.0015327671187918804,-0.0002527671187918881
0.0005999999999999784,0.0006164414002969288,0.047561770288601306,5,0.0018692613633369479,-0.0006692613633369911
0.0005600000000000049,0.0004979959839195346,0.03287142407543118,5,0.0015853806139262906,-0.00046538061392628074
0.0005200000000000094,0.0009959919678391126,0.1539397906106527,5,0.0025707612278526703,-0.0015307612278526513
0.00043999999999999595,0.0007127411872481992,0.11979352821764337,5,0.001907543955674134,-0.0010275439556741422
0.00043999999999999595,0.0006542170893518969,0.10352322847598032,5,0.0017870420292166534,-0.0009070420292166615
0.00040000000000000034,0.0006164414002968838,0.11020726808075261,5,0.0016692613633368773,-0.0008692613633368765
0.00036000000000002697,0.00047749345545253376,0.0835516578662869,5,0.0013431656244377,-0.0006231656244376461
0.00032000000000003136,0.000414728827066565,0.07977642634918526,5,0.0011739323870916406,-0.0005339323870915777
0.00027999999999999136,0.0005403702434442294,0.15553038366718333,5,0.0013926297999621307,-0.0008326297999621478
0.0002799999999999692,0.000521536192416229,0.1480905146681018,5,0.0013538502285812062,-0.000793850228581268
0.00024000000000001798,0.0007266360849834371,0.2505846837100773,5,0.0017361537421589066,-0.0012561537421588707
0.0001600000000000046,0.0005176871642217687,0.26376032258489723,5,0.001225925026329625,-0.0009059250263296159
0.00012000000000000899,0.0005932958789676663,0.33725924986625466,5,0.0013416044150149258,-0.0011016044150149078
8.00000000000134e-05,0.0009230384607371864,0.4278878756614854,5,0.001980548948405184,-0.0018205489484051575
0.0,0.0004690415759823505,0.5,5,0.0009657630877911771,-0.0009657630877911771
-3.999999999999559e-05,0.0006066300355241304,0.555041743329719,5,0.00120905962766231,-0.0012890596276623012
-7.999999999999118e-05,0.0005215361924162183,0.6255657749882221,5,0.0009938502285812242,-0.0011538502285812064
-0.00011999999999998679,0.000831865373723432,0.6184084379740548,5,0.0015928223020978845,-0.0018328223020978582
-0.00012000000000000899,0.00048166378315172404,0.696416211143583,5,0.0008717523868103513,-0.0011117523868103692
-0.00012000000000000899,0.0003633180424917415,0.74941531628991,5,0.0006280768710794827,-0.0008680768710795007
-0.00024000000000001798,0.0006693280212272829,0.7661976226953097,5,0.001138155646803333,-0.001618155646803369
-0.00027999999999999136,0.00022803508501984145,0.974197021094406,5,0.00018952739183567956,-0.0007495273918356623
-0.00031999999999998696,0.0007155417527999578,0.8130495168499544,5,0.0011533103588531515,-0.0017933103588531254
-0.00039999999999997817,0.0006324555320337203,0.8849001794597267,5,0.0009022346819218676,-0.001702234681921824
-0.00043999999999999595,0.00043358966777358714,0.957094810779974,5,0.0004527671187918937,-0.0013327671187918855
